yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
196301,,,,,,,,,,,,,,,,2.4818199,2.134939,-2.275123,,,
196302,,,,,,,,,,,,,,,,1.8095754,1.096137,0.0873805,,,
196303,,,,,,,,,,,,,,,,-0.8183017,0.5889908,2.3281434,,,
196304,,,,,,,,,,,,,,,,-3.7327651,0.0190005,0.5077012,,,
196305,,,,,,,,,,,,,,,,2.1518454,1.7593204,0.2848385,,,
196306,,,,,,,,,,,,,,,,0.0994365,-2.386818,-0.1521306,,,
196307,-0.39,-0.41,-0.97,0.68,-1.18,0.27,,0.9,,,,,,,,-2.0503863,-1.7134513,-1.3391583,-0.008352302,0.012071137,0.008370505
196308,5.07,-0.8,1.8,0.36,-0.35,0.25,,1.01,,,,,,,,-0.2230629,0.414862,2.0928091,0.007327567,0.0095317,0.003941894
196309,-1.57,-0.52,0.13,-0.71,0.29,0.27,,0.19,,,,,,,,-0.8812091,0.8398419,0.839391,0.003593966,0.006385998,-0.008458142
196310,2.53,-1.39,-0.1,2.8,-2.01,0.29,,3.12,,,,,,,,-0.395755,-0.3751353,4.7212646,-0.000443574,0.026138888,-0.0061385
196311,-0.85,-0.88,1.75,-0.51,2.24,0.27,,-0.74,,,,,,,,-0.5575297,-1.4158352,-2.0970503,0.011622145,-0.003152995,-0.004151523
196312,1.83,-2.1,-0.02,0.03,-0.07,0.29,,1.75,,,,,,,,-2.0187271,0.865804,1.0100875,0.000841561,0.016405135,0.004586072
196401,2.24,0.13,1.48,0.17,1.47,0.3,,0.86,,,,,,,,0.7210922,0.5901544,3.6268954,0.000451751,0.003751426,0.003146961
196402,1.54,0.28,2.81,-0.05,0.91,0.26,,0.26,,,,,,,,1.3188294,1.1459975,1.7986215,0.010915316,0.000674141,-0.007784435
196403,1.41,1.23,3.4,-2.21,3.22,0.31,,0.75,,,,,,,,2.0656364,5.1420414,2.095863,0.01412005,0.006478338,-0.009513255
196404,0.1,-1.52,-0.67,-1.27,-1.08,0.29,,-0.58,,,,,,,,-3.6419027,-0.7969255,-0.0054514,0.006373995,-0.008148185,-0.015519316
196405,1.42,-0.63,1.86,-0.16,0.17,0.26,,2.57,,,,,,,,-0.9222268,0.851686,1.9207269,0.005882882,0.020014621,-0.004233959
196406,1.27,0.29,0.62,-0.28,-0.17,0.3,,0.46,,,,,,,,0.6883653,-2.5273748,-1.2696653,-0.004637246,0.004143841,0.010384538
196407,1.74,0.5,0.75,0.08,1.91,0.3,,-0.35,,,,,,,,0.8506971,1.7663173,-1.2363787,-0.002490213,-0.003444597,0.001877231
196408,-1.44,0.41,0.08,0.12,0.35,0.28,,-0.22,,,,,,,,0.7146697,-0.6919205,-0.8885346,0.002842772,-0.000245601,-0.003543537
196409,2.69,-0.34,1.7,-0.56,0.62,0.28,,-0.41,,,,,,,,-1.1311107,1.2957959,-0.1572033,0.001951579,-0.006112913,-0.00165631
196410,0.59,0.87,1.17,-0.43,0.47,0.29,,0.08,,,,,,,,0.5918326,0.3829777,-0.6235726,0.005753473,0.000651951,0.005099257
196411,0,-0.15,-1.96,0.63,-0.26,0.29,,1.03,,,,,,,,-1.0449217,0.8238664,-0.0977306,0.002241976,0.000694797,0.008986663
196412,0.03,-0.69,-2.48,1.07,-1.5,0.31,,-0.74,,,,,,,,-0.0676284,-1.8551516,-0.0817293,-0.007232396,-5.31E-05,0.009219075
196501,3.54,2.44,0.12,0.91,0.1,0.28,,-1.44,,,,,,,,2.5269596,-0.7873157,0.3136981,0.008210402,-0.003222906,-0.004234531
196502,0.44,3.31,0.11,0.23,-0.68,0.3,,0.32,,,,,,,,3.5961387,-0.4723771,0.8441724,0.004614057,0.003411805,0.007691396
196503,-1.34,2.12,1.03,-0.32,0.69,0.36,,0.15,,,,,,,,2.7276543,-0.3277285,-0.5296635,0.005582117,0.001231396,0.004040311
196504,3.11,1.05,0.66,0.3,-2.2,0.31,,2.63,,,,,,,,1.9929195,-2.1635266,3.0679581,0.007003548,0.014248141,-0.012720212
196505,-0.77,0.1,-1.61,-0.45,0.53,0.31,,0.6,,,,,,,,0.3111634,0.6467603,-0.6759593,0.000193992,0.010702858,0.007831148
196506,-5.51,-4.28,0.59,0.22,0.37,0.35,,-3.13,,,,,,,,-4.651904,0.6777464,-2.0463959,-0.00897683,-0.015808428,-0.003212753
196507,1.43,1.08,2.2,-1.37,0.03,0.31,,4.1,,,,,,,,3.0823011,1.0058758,2.0171659,0.000898821,0.031869106,-0.009730858
196508,2.73,2.71,-1,1.9,-0.74,0.33,,2.58,,,,,,,,4.5887133,-0.4058196,2.8406925,-0.002520427,0.012976865,-0.011093558
196509,2.86,0.62,-0.13,-0.89,0.8,0.31,,3.3,,,,,,,,0.4901108,-0.1827136,1.5396083,0.00587839,0.020018457,-0.006634717
196510,2.6,3.47,1.56,1.17,-0.65,0.31,,3.46,,,,,,,,2.6495692,0.6248313,2.4176088,-0.00039877,0.019209418,-0.005652569
196511,-0.03,5.19,0.15,-1.01,-0.94,0.35,,4.45,,,,,,,,3.9607929,2.1851095,2.3510094,0.003354812,0.035121928,-0.005497722
196512,1.01,2.66,2.03,-1.14,-0.53,0.33,,0.12,,,,,,,,3.3401835,-0.1699998,1.7554374,0.007629037,-0.003112169,-0.010348363
196601,0.72,4.68,3.56,-2.82,-0.11,0.38,,5.39,,,,,,,,5.1980223,1.2015763,3.3670289,0.002262551,0.028340553,0.001839147
196602,-1.21,4.71,0.33,-0.17,-1.49,0.35,,4.57,,,,,,,,3.309335,-1.1984092,4.0274332,0.010049528,0.034347419,-0.015571177
196603,-2.51,0.32,-1.98,1.3,0.06,0.38,,1.42,,,,,,,,0.9626389,0.7223986,0.4072745,-4.80E-05,0.013948766,0.012152363
196604,2.14,3.35,-0.46,0.39,-0.95,0.34,,6.28,,,,,,,,3.8482723,-0.1997962,4.2293881,0.005675279,0.032690835,-0.006710896
196605,-5.66,-5.1,-1.63,1.64,-1.52,0.41,,-4.7,,,,,,,,-2.9433899,2.1670259,-2.5724732,-0.012379707,-0.029091476,0.019677574
196606,-1.44,1.37,0.5,0.15,0.78,0.38,,3.25,,,,,,,,0.2719497,-0.9041076,1.5290045,0.004776678,0.021051361,0.001345169
196607,-1.63,-0.41,0.95,-0.36,1.79,0.35,,-1.34,,,,,,,,0.9877443,0.6405711,-1.1827742,-0.003588237,-0.002052273,-0.002412381
196608,-7.91,-3.12,0.43,-0.09,0.8,0.41,,-2.14,,,,,,,,-2.9914173,2.304942,0.442379,-0.002643301,-0.019151499,0.001556006
196609,-1.06,-1.14,0.56,-1.68,2.37,0.4,,-1.84,,,,,,,,-1.6746319,3.2108393,-3.0067747,-0.0014788,-0.003322509,0.018593295
196610,3.86,-6.45,2.69,-3.48,4.25,0.45,,-5.26,,,,,,,,-5.0950245,4.263528,-7.8954491,0.000632195,-0.03173267,-0.009142881
196611,1.4,3.34,-4.69,4.13,-6.62,0.4,,5.72,,,,,,,,4.3381215,-8.7284657,6.9533057,-0.010944554,0.047475497,0.025223374
196612,0.13,2.02,-1.19,0.7,-0.34,0.4,,1.06,,,,,,,,1.7608561,-0.8119125,-1.5607411,0.004728969,0.003074926,-0.000909428
196701,8.15,9.1,2.27,0.96,-3.16,0.43,,-6.93,8.1852,6.8284,-2.9677,1.9193,-2.1769,,,8.2805073,-3.933249,-1.5146181,-0.005881519,-0.050907986,-0.011488216
196702,0.78,3.06,-2.22,1.99,-0.99,0.36,,3.52,0.7557,1.6496,-0.227,3.5395,2.2211,,,2.4579886,-2.5244353,3.0494041,-0.00107689,0.025150101,0.008854729
196703,3.99,1.87,0.37,0.86,-1.6,0.39,,1.53,4.0169,2.0026,-1.7789,1.8417,-1.036,,,2.8454495,-2.4660872,3.6697276,-0.013125304,0.009769994,-0.000238032
196704,3.89,0.43,-2.48,2.33,-3.67,0.32,,0.59,3.8786,-0.6898,-2.8756,1.0583,-1.7259,,,-0.6477397,-3.3276878,2.7464884,-0.003974919,0.015715015,0.007124603
196705,-4.33,2.29,1.09,-1.73,1.73,0.33,,0.72,-4.2807,2.8469,2.5239,0.6917,0.1578,,,4.3143366,0.2915141,0.3372407,0.007717312,-0.005733804,0.003061212
196706,2.41,6.43,0.85,-0.62,-2.42,0.27,,6,2.4199,6.2394,-2.1203,0.3089,-0.4236,,,6.988389,-4.5810486,5.5835192,-0.001049188,0.049581857,-0.00479808
196707,4.58,3.54,2.73,0.48,2.7,0.31,,-1.07,4.5784,3.0386,2.3556,-0.6775,-0.1323,,,3.1176563,1.9625589,1.7267335,0.001297812,0.004632196,1.49E-05
